232,4/1/2018,91,--,N,0, ,517, ,13.2, ,66.9, ,49.9, ,55.6, ,100, ,70, ,88, ,52, ,3.1, ,74.3, ,59.6, 
232,4/2/2018,92,--,N,0, ,456, ,12.8, ,65.3, ,49.1, ,55.1, ,95, ,70, ,87, ,51.2, ,3.5, ,84.2, ,59.3, 
232,4/3/2018,93,--,N,0, ,480, ,13.1, ,67.2, ,50.6, ,55.7, ,99, ,72, ,87, ,51.8, ,3.6, ,86.3, ,59.6, 
232,4/4/2018,94,--,N,0, ,468, ,12.9, ,68.9, ,49.5, ,55.7, ,97, ,66, ,86, ,51.4, ,3.1, ,73.8, ,59.9, 
232,4/5/2018,95,--,N,0, ,505, ,11.7, ,67.5, ,46.4, ,55.7, ,99, ,48, ,77, ,48.7, ,3.3, ,80.3, ,59.2, 
232,4/6/2018,96,--,N,0, ,396, ,14.9,Y,72.2, ,50.1, ,60, ,98, ,62, ,84,Y,55.2,Y,3, ,71.1, ,59.6, 
232,4/7/2018,97,--,N,0.14, ,339, ,15.9,Y,67.3, ,50.1, ,59.3, ,98, ,76, ,92,Y,57,Y,4.2, ,99.9, ,60.9,Y
232,4/8/2018,98,--,N,0,H,598, ,11.6, ,77.5, ,47.8, ,59.2, ,98, ,34, ,67, ,48.4, ,5.4, ,129.3, ,60.3, 
232,4/9/2018,99,--,N,0, ,601, ,12, ,88.6,Y,56,Y,69.2,R,76, ,31, ,--,R,--,I,3.7, ,89, ,61,Y
232,4/10/2018,100,--,N,0, ,591, ,13.4, ,77, ,49.7, ,59.9, ,99, ,48, ,76, ,52.3, ,3.7, ,87.8, ,60.9, 
232,4/11/2018,101,--,N,0, ,509, ,12.9, ,80.4, ,48.1, ,56.5, ,100, ,47, ,83, ,51.3, ,4.6, ,109.3, ,60.9, 
232,4/12/2018,102,--,N,0.02, ,623, ,9.2, ,63.8, ,44.8, ,53.8, ,93, ,39, ,65, ,42.4, ,8,Y,192.3,Y,59.2, 
232,4/13/2018,103,--,N,0, ,632, ,7.6, ,79.2, ,44.5, ,60.3, ,76, ,20, ,43, ,37.5, ,5, ,120.6, ,59.1, 
232,4/14/2018,104,--,N,0, ,636, ,9.9, ,82.8, ,44.7, ,60.2, ,94, ,26, ,55, ,44.2, ,3.1, ,75.1, ,59.2, 
232,4/15/2018,105,--,N,0, ,518, ,12.3, ,68, ,48.5, ,56.3, ,94, ,64, ,79, ,50, ,3.4, ,81.4, ,59.7, 
232,4/16/2018,106,--,N,0.14, ,559, ,10.5, ,63.1, ,40.7, ,52.6, ,100, ,52, ,77, ,45.7, ,4.1, ,97.6, ,59.1, 
232,4/17/2018,107,--,N,0, ,651,R,8.8, ,67.3, ,37.3, ,51.8, ,95, ,37, ,67, ,41.1, ,4.5, ,109, ,57.7, 
232,4/18/2018,108,--,N,0, ,595, ,9.4, ,65.3, ,40.7, ,52.7, ,88, ,50, ,69, ,42.9, ,3.6, ,87, ,57.7, 
232,4/19/2018,109,--,N,0.17, ,618, ,10.8, ,62.8, ,44, ,52.5, ,96, ,60, ,80, ,46.5, ,5, ,119.9, ,57.7, 
232,4/20/2018,110,--,N,0, ,649, ,11.7, ,69.3, ,40.6, ,54, ,97, ,59, ,82, ,48.7, ,4.2, ,100, ,57.8, 
232,4/21/2018,111,--,N,0.01, ,650, ,12.5, ,80.5, ,46.5, ,59.3, ,100, ,40, ,72, ,50.4, ,2.8, ,67.8, ,59.1, 
232,4/22/2018,112,--,N,0, ,650, ,13.1, ,76.9, ,45.6, ,59.7, ,96, ,50, ,75, ,51.7, ,3.3, ,79.3, ,59.7, 
232,4/23/2018,113,--,N,0.01, ,571, ,13.1, ,70.2, ,49.1, ,55.9, ,100, ,63, ,86, ,51.8, ,3, ,73.1, ,60.1, 
232,4/24/2018,114,--,N,0, ,536, ,12.5, ,67.8, ,48, ,54.8, ,99, ,63, ,85, ,50.4, ,3.1, ,73.7, ,60.4, 
232,4/25/2018,115,--,N,0, ,480, ,12.2, ,66.6, ,48.2, ,54.7, ,98, ,64, ,84, ,49.8, ,3.2, ,76.2, ,60.1, 
232,4/26/2018,116,--,N,0, ,558, ,12, ,67.6, ,46.8, ,55.6, ,96, ,60, ,79, ,49.3, ,3.4, ,82.8, ,59.8, 
232,4/27/2018,117,--,N,0, ,667, ,11.2, ,68.2, ,45.2, ,56.9, ,95, ,51, ,71, ,47.5, ,6.1, ,145.3, ,59.8, 
232,4/28/2018,118,--,N,0, ,667, ,11.3, ,68.8, ,46.8, ,56.9, ,98, ,47, ,71, ,47.7, ,6.6, ,159.2, ,59.7, 
232,4/29/2018,119,--,N,0, ,664, ,11, ,66.9, ,44.8, ,55.1, ,98, ,53, ,74, ,46.9, ,6.3, ,151.2, ,59.1, 
232,4/30/2018,120,--,N,0, ,625, ,10.7, ,64.5, ,45.3, ,53.9, ,98, ,57, ,75, ,46.3, ,6.1, ,147.5, ,59, 
